year,month,day,dow,don,color,wnum,tmp1,tmp2,tmp3
2020,1,1,Wed,New Year’s Day,FFB6C1,1,1月1日,Wed,1
2020,1,2,Thu,,,1,1月2日,Thu,1
2020,1,3,Fri,,,1,1月3日,Fri,1
2020,1,4,Sat,,FFD9C1,1,1月4日,Sat,1
2020,1,5,Sun,,FFB6C1,2,1月5日,Sun,2
2020,1,6,Mon,,,2,1月6日,Mon,2
2020,1,7,Tue,,,2,1月7日,Tue,2
2020,1,8,Wed,,,2,1月8日,Wed,2
2020,1,9,Thu,,,2,1月9日,Thu,2
2020,1,10,Fri,,,2,1月10日,Fri,2
2020,1,11,Sat,,FFD9C1,2,1月11日,Sat,2
2020,1,12,Sun,,FFB6C1,3,1月12日,Sun,3
2020,1,13,Mon,Coming of Age Day,FFB6C1,3,1月13日,Mon,3
2020,1,14,Tue,,,3,1月14日,Tue,3
2020,1,15,Wed,,,3,1月15日,Wed,3
2020,1,16,Thu,,,3,1月16日,Thu,3
2020,1,17,Fri,,,3,1月17日,Fri,3
2020,1,18,Sat,,FFD9C1,3,1月18日,Sat,3
2020,1,19,Sun,,FFB6C1,4,1月19日,Sun,4
2020,1,20,Mon,,,4,1月20日,Mon,4
2020,1,21,Tue,,,4,1月21日,Tue,4
2020,1,22,Wed,,,4,1月22日,Wed,4
2020,1,23,Thu,,,4,1月23日,Thu,4
2020,1,24,Fri,,,4,1月24日,Fri,4
2020,1,25,Sat,,FFD9C1,4,1月25日,Sat,4
2020,1,26,Sun,,FFB6C1,5,1月26日,Sun,5
2020,1,27,Mon,,,5,1月27日,Mon,5
2020,1,28,Tue,,,5,1月28日,Tue,5
2020,1,29,Wed,,,5,1月29日,Wed,5
2020,1,30,Thu,,,5,1月30日,Thu,5
2020,1,31,Fri,,,5,1月31日,Fri,5
2020,2,1,Sat,,FFD9C1,1,2月1日,Sat,1
2020,2,2,Sun,,FFB6C1,2,2月2日,Sun,2
2020,2,3,Mon,,,2,2月3日,Mon,2
2020,2,4,Tue,,,2,2月4日,Tue,2
2020,2,5,Wed,,,2,2月5日,Wed,2
2020,2,6,Thu,,,2,2月6日,Thu,2
2020,2,7,Fri,,,2,2月7日,Fri,2
2020,2,8,Sat,,FFD9C1,2,2月8日,Sat,2
2020,2,9,Sun,,FFB6C1,3,2月9日,Sun,3
2020,2,10,Mon,,,3,2月10日,Mon,3
2020,2,11,Tue,National Foundation Day,FFB6C1,3,2月11日,Tue,3
2020,2,12,Wed,,,3,2月12日,Wed,3
2020,2,13,Thu,,,3,2月13日,Thu,3
2020,2,14,Fri,,,3,2月14日,Fri,3
2020,2,15,Sat,,FFD9C1,3,2月15日,Sat,3
2020,2,16,Sun,,FFB6C1,4,2月16日,Sun,4
2020,2,17,Mon,,,4,2月17日,Mon,4
2020,2,18,Tue,,,4,2月18日,Tue,4
2020,2,19,Wed,,,4,2月19日,Wed,4
2020,2,20,Thu,,,4,2月20日,Thu,4
2020,2,21,Fri,,,4,2月21日,Fri,4
2020,2,22,Sat,,FFD9C1,4,2月22日,Sat,4
2020,2,23,Sun,The Emperor’s Birthday,FFB6C1,5,2月23日,Sun,5
2020,2,24,Mon,Substitute Holiday,FFB6C1,5,2月24日,Mon,5
2020,2,25,Tue,,,5,2月25日,Tue,5
2020,2,26,Wed,,,5,2月26日,Wed,5
2020,2,27,Thu,,,5,2月27日,Thu,5
2020,2,28,Fri,,,5,2月28日,Fri,5
2020,2,29,Sat,,FFD9C1,5,2月29日,Sat,5
2020,3,1,Sun,,FFB6C1,1,3月1日,Sun,1
2020,3,2,Mon,,,1,3月2日,Mon,1
2020,3,3,Tue,,,1,3月3日,Tue,1
2020,3,4,Wed,,,1,3月4日,Wed,1
2020,3,5,Thu,,,1,3月5日,Thu,1
2020,3,6,Fri,,,1,3月6日,Fri,1
2020,3,7,Sat,,FFD9C1,1,3月7日,Sat,1
2020,3,8,Sun,,FFB6C1,2,3月8日,Sun,2
2020,3,9,Mon,,,2,3月9日,Mon,2
2020,3,10,Tue,,,2,3月10日,Tue,2
2020,3,11,Wed,,,2,3月11日,Wed,2
2020,3,12,Thu,,,2,3月12日,Thu,2
2020,3,13,Fri,,,2,3月13日,Fri,2
2020,3,14,Sat,,FFD9C1,2,3月14日,Sat,2
2020,3,15,Sun,,FFB6C1,3,3月15日,Sun,3
2020,3,16,Mon,,,3,3月16日,Mon,3
2020,3,17,Tue,,,3,3月17日,Tue,3
2020,3,18,Wed,,,3,3月18日,Wed,3
2020,3,19,Thu,,,3,3月19日,Thu,3
2020,3,20,Fri,Vernal Equinox Day,FFB6C1,3,3月20日,Fri,3
2020,3,21,Sat,,FFD9C1,3,3月21日,Sat,3
2020,3,22,Sun,,FFB6C1,4,3月22日,Sun,4
2020,3,23,Mon,,,4,3月23日,Mon,4
2020,3,24,Tue,,,4,3月24日,Tue,4
2020,3,25,Wed,,,4,3月25日,Wed,4
2020,3,26,Thu,,,4,3月26日,Thu,4
2020,3,27,Fri,,,4,3月27日,Fri,4
2020,3,28,Sat,,FFD9C1,4,3月28日,Sat,4
2020,3,29,Sun,,FFB6C1,5,3月29日,Sun,5
2020,3,30,Mon,,,5,3月30日,Mon,5
2020,3,31,Tue,,,5,3月31日,Tue,5
2020,4,1,Wed,,,1,4月1日,Wed,1
2020,4,2,Thu,,,1,4月2日,Thu,1
2020,4,3,Fri,,,1,4月3日,Fri,1
2020,4,4,Sat,,FFD9C1,1,4月4日,Sat,1
2020,4,5,Sun,,FFB6C1,2,4月5日,Sun,2
2020,4,6,Mon,,,2,4月6日,Mon,2
2020,4,7,Tue,,,2,4月7日,Tue,2
2020,4,8,Wed,,,2,4月8日,Wed,2
2020,4,9,Thu,,,2,4月9日,Thu,2
2020,4,10,Fri,,,2,4月10日,Fri,2
2020,4,11,Sat,,FFD9C1,2,4月11日,Sat,2
2020,4,12,Sun,,FFB6C1,3,4月12日,Sun,3
2020,4,13,Mon,,,3,4月13日,Mon,3
2020,4,14,Tue,,,3,4月14日,Tue,3
2020,4,15,Wed,,,3,4月15日,Wed,3
2020,4,16,Thu,,,3,4月16日,Thu,3
2020,4,17,Fri,,,3,4月17日,Fri,3
2020,4,18,Sat,,FFD9C1,3,4月18日,Sat,3
2020,4,19,Sun,,FFB6C1,4,4月19日,Sun,4
2020,4,20,Mon,,,4,4月20日,Mon,4
2020,4,21,Tue,,,4,4月21日,Tue,4
2020,4,22,Wed,,,4,4月22日,Wed,4
2020,4,23,Thu,,,4,4月23日,Thu,4
2020,4,24,Fri,,,4,4月24日,Fri,4
2020,4,25,Sat,,FFD9C1,4,4月25日,Sat,4
2020,4,26,Sun,,FFB6C1,5,4月26日,Sun,5
2020,4,27,Mon,,,5,4月27日,Mon,5
